,Town,District,Division,Region,State,Town Type,Transport Name,Party Count
29,Chanera,Khandwa,Indore,Nimar Region,Madhya Pradesh,Municipality,,1.0
30,Chapda,Dewas,Ujjain,Malwa Region,Madhya Pradesh,Urban Local Body,,2.0
31,Chhatarpur,Chhatarpur,Sagar,Bundelkhand Region,Madhya Pradesh,,,4.0
32,Chhindwara,Chhindwara,Jabalpur,Mahakaushal Region,Madhya Pradesh,Municipality,,7.0
33,Chhindwara,Chhindwara,Jabalpur,Mahakaushal Region,Madhya Pradesh,,,7.0
34,Dabra,Gwalior,Gwalior,Gwalior-Chambal Region,Madhya Pradesh,Municipality,,1.0
35,Damoh,Damoh,Sagar,Bundelkhand Region,Madhya Pradesh,,,1.0
36,Datia,Datia,Gwalior,Bundelkhand Region,Madhya Pradesh,Municipality,,1.0
37,DELHI,,,,,,,3.0
38,Deotalab,Mauganj,Rewa,Baghelkhand Region,Madhya Pradesh,Town,,1.0
39,Dewas,Dewas,Ujjain,Malwa Region,Madhya Pradesh,Municipal Corporation,,3.0
40,Dhamnod,Dhar,Indore,Malwa Region,Madhya Pradesh,Nagar Panchayat,,1.0
41,Dhamnod,Ratlam,Ujjain,Malwa Region,Madhya Pradesh,Nagar Parishad,,1.0
42,Dhar,Dhar,Indore,Malwa Region,Madhya Pradesh,Municipality,,4.0
43,Dharampuri,Dhar,Indore,Malwa Region,Madhya Pradesh,Municipality,,1.0
44,Dhargaon,Khargone,Indore,Nimar Region,Madhya Pradesh,Municipality,,2.0
45,Dindori,Dindori,Jabalpur,Mahakaushal Region,Madhya Pradesh,,,1.0
46,Ganj Basoda,Vidisha,Bhopal,Bhopal Region,Madhya Pradesh,Municipality,,1.0
47,Garoth,Mandsaur,Ujjain,Malwa Region,Madhya Pradesh,Nagar Parishad,,1.0
48,Ghatabillod,Dhar,Indore,Malwa Region,Madhya Pradesh,Municipality,,1.0
49,Gogawa,Khargone,Indore,Nimar Region,Madhya Pradesh,Census Town,,1.0
50,Guna,Guna,Gwalior,Gwalior-Chambal Region,Madhya Pradesh,Municipality,,3.0
51,Gwalior,Gwalior,Gwalior,Gwalior-Chambal Region,Madhya Pradesh,Municipal Corporation,,12.0
52,Harda,Harda,Narmadapuram,Narmadapuram Region,Madhya Pradesh,Nagar Palika,,4.0
53,Hatod,Indore,Indore,Malwa Region,Madhya Pradesh,Nagar Panchayat,,1.0
54,Indergarh,Datia,Gwalior,Bundelkhand Region,Madhya Pradesh,Nagar Panchayat,,1.0
55,Indore,Indore,Indore,Malwa Region,Madhya Pradesh,Municipal Corporation,,36.0
56,Itarsi,Narmadapuram,Narmadapuram,Narmadapuram Region,Madhya Pradesh,Nagar Palika,,2.0
